Date,TEDSPREAD
11/7/18,0.28
11/8/18,0.31
11/9/18,0.31
11/12/18,.
11/13/18,0.28
11/14/18,0.3
11/15/18,0.32
11/16/18,0.33
11/19/18,0.31
11/20/18,0.31
11/21/18,0.32
11/22/18,.
11/23/18,0.33
11/26/18,0.34
11/27/18,0.35
11/28/18,0.36
11/29/18,0.42
11/30/18,0.42
12/3/18,0.41
12/4/18,0.36
12/5/18,.
12/6/18,0.41
12/7/18,0.42
12/10/18,0.41
12/11/18,0.41
12/12/18,0.39
12/13/18,0.41
12/14/18,0.43
12/17/18,0.44
12/18/18,0.45
12/19/18,0.44
12/20/18,0.48
12/21/18,0.48
12/24/18,0.4
12/25/18,.
12/26/18,.
12/27/18,0.44
12/28/18,0.45
12/31/18,0.41
1/1/19,.
1/2/19,0.42
1/3/19,0.44
1/4/19,0.43
1/7/19,0.39
1/8/19,0.37
1/9/19,0.4
1/10/19,0.42
1/11/19,0.41
1/14/19,0.38
1/15/19,0.37
1/16/19,0.4
1/17/19,0.41
1/18/19,0.4
1/21/19,.
1/22/19,0.4
1/23/19,0.41
1/24/19,0.44
1/25/19,0.41
1/28/19,0.38
1/29/19,0.37
1/30/19,0.37
1/31/19,0.38
2/1/19,0.38
2/4/19,0.36
2/5/19,0.37
2/6/19,0.37
2/7/19,0.33
2/8/19,0.32
2/11/19,0.29
2/12/19,0.31
2/13/19,0.29
2/14/19,0.31
2/15/19,0.3
2/18/19,.
2/19/19,0.23
2/20/19,0.26
2/21/19,0.25
2/22/19,0.24
2/25/19,0.22
2/26/19,0.23
2/27/19,0.23
2/28/19,0.22
3/1/19,0.21
3/4/19,0.2
3/5/19,0.2
3/6/19,0.18
3/7/19,0.2
3/8/19,0.19
3/11/19,0.2
3/12/19,0.18
3/13/19,0.21
3/14/19,0.21
3/15/19,0.23
3/18/19,0.24
3/19/19,0.2
3/20/19,0.19
3/21/19,0.17
3/22/19,0.2
3/25/19,0.2
3/26/19,0.19
3/27/19,0.21
3/28/19,0.21
3/29/19,0.25
4/1/19,0.22
4/2/19,0.23
4/3/19,0.21
4/4/19,0.2
4/5/19,0.2
4/8/19,0.2
4/9/19,0.21
4/10/19,0.22
4/11/19,0.22
4/12/19,0.21
4/15/19,0.21
4/16/19,0.22
4/17/19,0.2
4/18/19,0.21
4/19/19,.
4/22/19,.
4/23/19,0.18
4/24/19,0.2
4/25/19,0.2
4/26/19,0.21
4/29/19,0.19
4/30/19,0.2
5/1/19,0.2
5/2/19,0.16
5/3/19,0.18
5/6/19,.
5/7/19,0.18
5/8/19,0.17
5/9/19,0.16
5/10/19,0.15
5/13/19,0.16
5/14/19,0.16
5/15/19,0.16
5/16/19,0.17
5/17/19,0.18
5/20/19,0.18
5/21/19,0.18
5/22/19,0.19
5/23/19,0.2
5/24/19,0.22
5/27/19,.
5/28/19,0.2
5/29/19,0.2
5/30/19,0.19
5/31/19,0.2
6/3/19,0.18
6/4/19,0.17
6/5/19,0.17
6/6/19,0.17
6/7/19,0.22
6/10/19,0.2
6/11/19,0.23
6/12/19,0.24
6/13/19,0.27
6/14/19,0.25
6/17/19,0.24
6/18/19,0.22
6/19/19,0.26
6/20/19,0.25
6/21/19,0.28
6/24/19,0.25
6/25/19,0.24
6/26/19,0.23
6/27/19,0.23
6/28/19,0.24
7/1/19,0.17
7/2/19,0.16
7/3/19,0.13
7/4/19,.
7/5/19,0.13
7/8/19,0.13
7/9/19,0.13
7/10/19,0.19
7/11/19,0.18
7/12/19,0.22
7/15/19,0.19
7/16/19,0.2
7/17/19,0.21
7/18/19,0.27
7/19/19,0.24
7/22/19,0.24
7/23/19,0.26
7/24/19,0.22
7/25/19,0.2
7/26/19,0.19
7/29/19,0.19
7/30/19,0.21
7/31/19,0.23
8/1/19,0.26
8/2/19,0.22
8/5/19,0.21
