Date,High,Low,SPY Close
11/17/2014,204.5800018,203.6499939,183.1055145
11/18/2014,205.9199982,204.4400024,184.1627502
11/19/2014,205.5500031,204.3000031,183.8670959
11/20/2014,205.7100067,204.1799927,184.1896057
11/21/2014,207.8399963,205.9799957,185.1751556
11/24/2014,207.3899994,206.9100037,185.6948242
11/25/2014,207.7899933,206.8000031,185.5604706
11/26/2014,207.7599945,207.0299988,186.0352783
11/28/2014,207.8699951,206.9100037,185.6410675
12/1/2014,206.5399933,205.3800049,184.3508759
12/2/2014,207.3399963,205.7799988,185.5425262
12/3/2014,208.1499939,207.1000061,186.2592926
12/4/2014,208.2700043,206.6999969,186.0532227
12/5/2014,208.4700012,207.5500031,186.3578339
12/8/2014,208.1199951,205.9299927,185.1124573
12/9/2014,206.6000061,203.9100037,184.98703
12/10/2014,205.9799957,202.9299927,182.0214081
12/11/2014,206.1900024,203.7100067,182.9443054
12/12/2014,203.8200073,200.8500061,179.9876251
12/15/2014,202.5299988,198.7799988,178.7511902
12/16/2014,202.3999939,197.8600006,177.3176727
12/17/2014,202.3399963,198.2899933,180.7939911
12/18/2014,212.9700012,203.9199982,185.2647705
12/19/2014,207.3300018,205.6100006,186.0530701
12/22/2014,207.4700012,206.4600067,186.9089203
12/23/2014,208.2299957,207.3999939,187.1611481
12/24/2014,208.3399963,207.7200012,187.1791687
12/26/2014,208.8500061,208.25,187.7827759
12/29/2014,208.9700012,208.1399994,188.0350494
12/30/2014,208.3699951,207.5099945,187.0260315
12/31/2014,208.1900024,205.3899994,185.170166
1/2/2015,206.8800049,204.1799927,185.0710754
1/5/2015,204.3699951,201.3500061,181.7287445
1/6/2015,202.7200012,198.8600006,180.0170898
1/7/2015,202.7200012,200.8800049,182.2602692
1/8/2015,206.1600037,203.9900055,185.4944916
1/9/2015,206.4199982,203.5099945,184.0080109
1/12/2015,204.6000061,201.9199982,182.5665588
1/13/2015,205.4799957,200.5099945,182.0530548
1/14/2015,201.1000061,198.5700073,180.9539642
1/15/2015,202.0099945,198.8800049,179.2963562
1/16/2015,201.8200073,198.5500031,181.6476746
1/20/2015,202.7200012,200.1699982,182.0350647
1/21/2015,203.6600037,200.9400024,182.95401
1/22/2015,206.2599945,202.3300018,185.6746521
1/23/2015,206.1000061,204.8099976,184.6566467
1/26/2015,205.5599976,203.8500061,185.0890961
1/27/2015,204.1199951,201.7400055,182.647644
1/28/2015,204.2899933,199.9100037,180.3052979
1/29/2015,202.3000031,198.6799927,181.9719849
1/30/2015,202.1699982,199.1300049,179.6837158
2/2/2015,202.0299988,197.8600006,181.9089203
2/3/2015,204.8500061,202.5500031,184.5395355
2/4/2015,205.3800049,203.5099945,183.8368683
2/5/2015,206.3000031,204.7700043,185.6927032
2/6/2015,207.2400055,204.9199982,185.179184
2/9/2015,205.6399994,204.1399994,184.3503876
2/10/2015,207.1199951,204.6799927,186.3142853
2/11/2015,207.4499969,205.8300018,186.4223938
2/12/2015,208.9900055,206.9700012,188.2151794
2/13/2015,209.8399963,208.7599945,188.989975
2/17/2015,210.3200073,209.1000061,189.2872925
2/18/2015,210.2200012,209.3399963,189.3052826
