Date,GOLDAMGBD228NLBM
10/23/15,1171.55
10/26/15,1168.5
10/27/15,1165.75
10/28/15,1171.5
10/29/15,1159
10/30/15,1147.75
11/2/15,1135.8
11/3/15,1130.9
11/4/15,1118
11/5/15,1107.3
11/6/15,1107.7
11/9/15,1095.6
11/10/15,1092.5
11/11/15,1088.6
11/12/15,1087.6
11/13/15,1083.75
11/16/15,1094.5
11/17/15,1080.8
11/18/15,1070.5
11/19/15,1073.1
11/20/15,1085.15
11/23/15,1068.35
11/24/15,1073
11/25/15,1072.2
11/26/15,1070.5
11/27/15,1064.65
11/30/15,1055.65
12/1/15,1069.25
12/2/15,1066.9
12/3/15,1050.6
12/4/15,1063
12/7/15,1082.7
12/8/15,1071.75
12/9/15,1078.4
12/10/15,1072
12/11/15,1067.2
12/14/15,1068
12/15/15,1069.15
12/16/15,1065.75
12/17/15,1065.85
12/18/15,1055.25
12/21/15,1071.15
12/22/15,1077
12/23/15,1071.5
12/24/15,1071.9
12/25/15,.
12/28/15,.
12/29/15,1067.25
12/30/15,1067.8
12/31/15,1062.25
1/1/16,.
1/4/16,1072.7
1/5/16,1078
1/6/16,1083.85
1/7/16,1096
1/8/16,1097.45
1/11/16,1104.7
1/12/16,1094.85
1/13/16,1081.8
1/14/16,1090.75
1/15/16,1081.1
1/18/16,1090.45
1/19/16,1087
1/20/16,1093.2
1/21/16,1096.8
1/22/16,1097.65
1/25/16,1103.7
1/26/16,1114.7
1/27/16,1116.5
1/28/16,1119
1/29/16,1112.9
2/1/16,1122
2/2/16,1123.6
2/3/16,1130
2/4/16,1146.25
2/5/16,1158.5
2/8/16,1173.4
2/9/16,1188.9
2/10/16,1183.4
2/11/16,1223.25
2/12/16,1239.5
2/15/16,1208.45
2/16/16,1212
2/17/16,1202.4
2/18/16,1204.4
2/19/16,1221.5
2/22/16,1203.65
2/23/16,1218.75
2/24/16,1232.25
2/25/16,1235.4
2/26/16,1231
2/29/16,1234.15
3/1/16,1240
3/2/16,1229.35
3/3/16,1241.95
3/4/16,1271.5
3/7/16,1267.6
3/8/16,1274.1
3/9/16,1258.25
3/10/16,1247.25
3/11/16,1262.25
3/14/16,1256.55
3/15/16,1233.6
3/16/16,1233.1
3/17/16,1269.6
3/18/16,1254.5
3/21/16,1244.25
3/22/16,1251.8
3/23/16,1232.2
3/24/16,1216.45
3/25/16,.
3/28/16,.
3/29/16,1216.45
3/30/16,1238.2
3/31/16,1233.6
4/1/16,1232.1
4/4/16,1215
4/5/16,1231.5
4/6/16,1225.75
4/7/16,1237.5
4/8/16,1235
4/11/16,1247.25
4/12/16,1259.2
4/13/16,1245.75
4/14/16,1240.3
4/15/16,1229.75
4/18/16,1237.7
4/19/16,1241.7
4/20/16,1247.75
4/21/16,1257.65
4/22/16,1245.4
4/25/16,1230.85
4/26/16,1234.5
4/27/16,1244.75
4/28/16,1256.6
4/29/16,1274.5
5/2/16,.
5/3/16,1296.5
5/4/16,1280.3
5/5/16,1275.75
5/6/16,1280.25
5/9/16,1277.75
5/10/16,1264.85
5/11/16,1271.8
5/12/16,1268.3
5/13/16,1275.15
5/16/16,1281
5/17/16,1270.1
5/18/16,1270.9
5/19/16,1253.75
5/20/16,1256.5
5/23/16,1250.4
5/24/16,1242.65
5/25/16,1220.75
5/26/16,1226.65
5/27/16,1221.25
5/30/16,.
5/31/16,1210.5
6/1/16,1216.25
6/2/16,1215.5
6/3/16,1211
6/6/16,1240.55
6/7/16,1241.1
6/8/16,1252.4
6/9/16,1258.35
6/10/16,1266.6
6/13/16,1284.1
6/14/16,1279.4
6/15/16,1282
6/16/16,1307
6/17/16,1284.5
6/20/16,1283.25
6/21/16,1280.8
6/22/16,1265
6/23/16,1265.75
6/24/16,1313.85
6/27/16,1324.6
6/28/16,1312
6/29/16,1317.75
6/30/16,1317
7/1/16,1331.75
7/4/16,1348.75
7/5/16,1344.75
7/6/16,1370
7/7/16,1367.1
7/8/16,1356.1
7/11/16,1358.25
7/12/16,1352.85
7/13/16,1340.25
7/14/16,1325.7
7/15/16,1330.5
7/18/16,1326.15
7/19/16,1332.2
7/20/16,1325.6
7/21/16,1322
7/22/16,1323.2
7/25/16,1315
7/26/16,1321.25
7/27/16,1320.8
7/28/16,1341.3
7/29/16,1332.5
8/1/16,1348.85
8/2/16,1358.15
8/3/16,1364.4
8/4/16,1351.15
8/5/16,1362.6
8/8/16,1330
8/9/16,1332.9
8/10/16,1351.85
8/11/16,1344.55
8/12/16,1336.7
8/15/16,1339.2
8/16/16,1349.1
8/17/16,1342.75
8/18/16,1347.1
8/19/16,1346.85
8/22/16,1334.3
8/23/16,1338.5
8/24/16,1337.3
8/25/16,1324.5
8/26/16,1324.9
8/29/16,.
8/30/16,1318.85
8/31/16,1314.45
9/1/16,1305.7
9/2/16,1311.5
9/5/16,1328.3
9/6/16,1330.05
9/7/16,1348.75
9/8/16,1348
9/9/16,1335.65
9/12/16,1327.5
9/13/16,1328.5
9/14/16,1323.2
9/15/16,1320.1
9/16/16,1314.25
9/19/16,1315.05
9/20/16,1315.4
9/21/16,1319.6
9/22/16,1332.45
9/23/16,1335.9
9/26/16,1336.3
9/27/16,1335.85
9/28/16,1324.8
9/29/16,1320.85
9/30/16,1327.9
10/3/16,1318.65
10/4/16,1309.15
10/5/16,1274
10/6/16,1265.5
10/7/16,1255
10/10/16,1262.1
10/11/16,1256.4
10/12/16,1255.7
10/13/16,1258
10/14/16,1256.15
10/17/16,1252.7
10/18/16,1261.65
10/19/16,1269.75
10/20/16,1269.2
10/21/16,1263.95
10/24/16,1267
10/25/16,1269.3
10/26/16,1273.9
10/27/16,1269.3
10/28/16,1265.9
10/31/16,1274.2
11/1/16,1284.4
11/2/16,1295.85
11/3/16,1293
11/4/16,1301.7
11/7/16,1286.8
11/8/16,1284
11/9/16,1304.55
11/10/16,1280.9
11/11/16,1255.65
11/14/16,1222.6
11/15/16,1228.9
11/16/16,1225.7
11/17/16,1232
11/18/16,1206.1
11/21/16,1214.95
11/22/16,1217.55
11/23/16,1213.25
11/24/16,1187.25
11/25/16,1187.5
11/28/16,1189.1
11/29/16,1187.3
11/30/16,1187.4
12/1/16,1168.75
12/2/16,1171.65
12/5/16,1164.9
12/6/16,1171.15
12/7/16,1171.25
12/8/16,1174.75
12/9/16,1168.9
12/12/16,1154.4
12/13/16,1157.35
12/14/16,1160.95
12/15/16,1132.45
12/16/16,1134.85
12/19/16,1137.6
12/20/16,1132.75
12/21/16,1134.4
12/22/16,1130.55
12/23/16,1131
12/26/16,.
12/27/16,.
12/28/16,1139.75
12/29/16,1146.8
12/30/16,1159.1
1/2/17,.
1/3/17,1148.65
1/4/17,1165.9
1/5/17,1173.05
1/6/17,1178
1/9/17,1176.1
1/10/17,1183.2
1/11/17,1187.55
1/12/17,1206.65
1/13/17,1196.35
1/16/17,1202.75
1/17/17,1217.5
1/18/17,1212.5
1/19/17,1203.35
1/20/17,1199.1
1/23/17,1213.75
1/24/17,1213.3
1/25/17,1203.5
1/26/17,1191.55
1/27/17,1184.2
1/30/17,1189.85
1/31/17,1198.8
2/1/17,1210
2/2/17,1224.05
2/3/17,1213.05
2/6/17,1221.85
2/7/17,1231
2/8/17,1235.6
2/9/17,1241.75
2/10/17,1225.75
2/13/17,1229.4
2/14/17,1229.65
2/15/17,1225.15
2/16/17,1236.75
2/17/17,1241.4
2/20/17,1235.35
2/21/17,1228.7
2/22/17,1237.5
2/23/17,1237.35
2/24/17,1255.35
2/27/17,1256.25
2/28/17,1251.9
3/1/17,1246.05
3/2/17,1243.3
3/3/17,1228.75
3/6/17,1231.15
3/7/17,1223.7
3/8/17,1213.3
3/9/17,1204.6
3/10/17,1196.55
3/13/17,1207.8
3/14/17,1203.55
3/15/17,1202.25
3/16/17,1225.6
