Date,TEDSPREAD
3/29/2017,37.4741
3/30/2017,39.0853
3/31/2017,39.7938
4/3/2017,39.3136
4/4/2017,37.7775
4/5/2017,35.2905
4/6/2017,35.2833
4/7/2017,34.4928
4/10/2017,35.3183
4/11/2017,34.7427
4/12/2017,35.5865
4/13/2017,35.5936
4/14/2017,35.5936
4/17/2017,35.5953
4/18/2017,35.3627
4/19/2017,35.8185
4/20/2017,36.5881
4/21/2017,38.4247
4/24/2017,37.9279
4/25/2017,35.7617
4/26/2017,36.4115
4/27/2017,37.2092
4/28/2017,38.0003
5/1/2017,36.9843
5/2/2017,33.0403
5/3/2017,30.7559
5/4/2017,30.5457
5/5/2017,29.6448
5/8/2017,29.5549
5/9/2017,28.7767
5/10/2017,29.1821
5/11/2017,30.7957
5/12/2017,31.089
5/15/2017,30.57
5/16/2017,28.1844
5/17/2017,28.9271
5/18/2017,26.2254
5/19/2017,28.2134
5/22/2017,29.7898
5/23/2017,28.4252
5/24/2017,27.7937
5/25/2017,28.074
5/26/2017,27.7131
5/29/2017,27.7131
5/30/2017,27.2063
5/31/2017,23.9393
6/1/2017,24.7479
6/2/2017,25.1996
6/5/2017,24.9082
6/6/2017,24.8367
6/7/2017,23.511
6/8/2017,23.7153
6/9/2017,24.047
6/12/2017,24.5727
6/13/2017,24.9454
6/14/2017,24.9157
6/15/2017,26.6294
6/16/2017,27.2497
6/19/2017,27.9184
6/20/2017,27.5829
6/21/2017,30.8645
6/22/2017,35.0446
6/23/2017,34.3147
6/26/2017,34.4722
6/27/2017,29.3859
6/28/2017,29.5217
6/29/2017,27.7085
6/30/2017,28.7919
7/3/2017,27.9338
7/4/2017,28.0728
7/5/2017,26.1065
7/6/2017,27.2394
7/7/2017,27.8686
7/10/2017,27.7605
7/11/2017,26.663
7/12/2017,26.1955
7/13/2017,27.1894
7/14/2017,27.1982
7/17/2017,26.9417
7/18/2017,25.4782
7/19/2017,20.4125
7/20/2017,17.3756
7/21/2017,15.5413
7/24/2017,14.4706
7/25/2017,16.2558
7/26/2017,20.06
7/27/2017,21.8243
7/28/2017,23.3077
7/31/2017,23.8204
8/1/2017,24.3112
8/2/2017,24.5363
8/3/2017,23.9188
8/4/2017,24.2101
8/7/2017,26.0687
8/8/2017,26.4926
8/9/2017,26.4686
8/10/2017,27.8668
8/11/2017,28.3372
8/14/2017,29.4033
8/15/2017,29.5135
8/16/2017,31.2949
8/17/2017,32.0339
8/18/2017,31.3657
8/21/2017,33.8869
8/22/2017,31.9813
8/23/2017,32.2388
8/24/2017,30.5857
8/25/2017,31.4142
8/28/2017,29.8887
8/29/2017,30.937
8/30/2017,30.6021
8/31/2017,32.6823
9/1/2017,31.6347
9/4/2017,31.6347
9/5/2017,31.7485
9/6/2017,26.2544
9/7/2017,27.7862
9/8/2017,27.3607
9/11/2017,28.2524
9/12/2017,29.2492
9/13/2017,28.5708
9/14/2017,27.793
9/15/2017,29.7356
9/18/2017,31.2504
9/19/2017,29.9432
9/20/2017,29.5137
9/21/2017,30.0436
9/22/2017,30.9275
9/25/2017,32.2317
9/26/2017,28.122
9/27/2017,28.7022
